name,logo_src,location,type,avg_tuition_annually,avg_tuition_after_aid,avg_aid_pack,grad_rate,address,phone_number,website,application_link,acceptance_rate,reg_app_due_date,SAT_range,ACT_range,required_GPA,required_rank,required_ACT_SAT,student_to_faculty_ratio,retention_rate_majors_avail,financial_aid_app_due_date,avg_housing_cost,undergrad_pop,campus_life,majors_available
Paul Mitchell the School Great Lakes,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Port Huron, MI",Less than 2-year • Career and Technical,$12K,"$12,361",Not available,Not available,"2950 Lapeer Rd, Port Huron, MI 48060",Phone number not available,paulmitchell.edu/porthuron/request-enrollment-information,https://paulmitchell.edu/porthuron/get-started,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,10:1,100%,Not available,Not available,Not available,Suburban,3
Paul Mitchell The School Fresno,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Fresno, CA",Less than 2-year • Career and Technical,$13K,"$13,078",Not available,Not available,"5091 N Fresno St Ste 104, Fresno, CA 93710",Phone number not available,paulmitchell.edu/fresno/request-enrollment-information,https://www.paulmitchell.edu/fresno/online-application,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,23:1,80%,Not available,Not available,Not available,Urban,2
Paul Mitchell The School Fayetteville,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Fayetteville, NC",Less than 2-year • Career and Technical,$17K,"$16,900",Not available,Not available,"505A Cross Creek Mall, Fayetteville, NC 28303",Phone number not available,paulmitchell.edu/fayetteville/request-enrollment-information,https://www.paulmitchell.edu/fayetteville/online-application,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,18:1,57%,Not available,Not available,Not available,Urban,2
Paul Mitchell the School Farmington Hills,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Farmington Hills, MI",Less than 2-year • Career and Technical,$15K,"$15,371",Not available,Not available,"27590 Orchard Lake Rd, Farmington Hills, MI 48334",Phone number not available,paulmitchell.edu/farmingtonhills/request-enrollment-information,https://paulmitchell.edu/farmingtonhills/get-started,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,17:1,100%,Not available,Not available,Not available,Urban,2
Paul Mitchell The School East Bay,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Pleasant Hill, CA",Less than 2-year • Career and Technical,$26K,"$26,495",Not available,Not available,"100 Crescent Dr Ste D, Pleasant Hill, CA 94523",Phone number not available,paulmitchell.edu/eastbay,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,21:1,88%,Not available,Not available,Not available,Suburban,3
Paul Mitchell The School Denver,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Lakewood, CO",Less than 2-year • Career and Technical,$18K,"$17,792",Not available,Not available,"405 S Teller St, Lakewood, CO 80226",Phone number not available,paulmitchell.edu/denver/request-enrollment-information,https://www.paulmitchell.edu/denver/online-application,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,29:1,85%,Not available,Not available,Not available,Urban,2
Paul Mitchell The School Delaware,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Newark, DE",Less than 2-year • Career and Technical,$19K,"$19,073",Not available,Not available,"1420 Pulaski Hwy, Newark, DE 19702",Phone number not available,paulmitchell.edu/delaware/request-enrollment-information,https://paulmitchell.edu/delaware/get-started,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,17:1,63%,Not available,Not available,Not available,Suburban,3
Paul Mitchell the School Dallas,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Carrollton, TX",Less than 2-year • Career and Technical,$22K,"$21,561",Not available,Not available,"2389 Midway Rd Ste A, Carrollton, TX 75006",Phone number not available,paulmitchell.edu/dallas/request-enrollment-information,https://paulmitchell.edu/dallas/get-started,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,17:1,94%,Not available,Not available,Not available,Suburban,3
Paul Mitchell The School Costa Mesa,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Costa Mesa, CA",Less than 2-year • Career and Technical,$10K,"$9,957",Not available,Not available,"3309 Hyland Ave Ste J, Costa Mesa, CA 92626",Phone number not available,paulmitchell.edu/costamesa/request-enrollment-information,https://www.paulmitchell.edu/costamesa/online-application,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,12:1,73%,Not available,Not available,Not available,Urban,3
Paul Mitchell The School Columbus,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Columbus, OH",Less than 2-year • Career and Technical,$15K,"$15,056",Not available,Not available,"3000 Morse Rd, Columbus, OH 43231",Phone number not available,paulmitchell.edu/columbus/request-enrollment-information,https://paulmitchell.edu/columbus/get-started,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,20:1,83%,Not available,Not available,Not available,Urban,2
Paul Mitchell the School Columbia,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"West Columbia, SC",Less than 2-year • Career and Technical,$12K,"$12,096",Not available,Not available,"1008 Meeting St, West Columbia, SC 29169",Phone number not available,paulmitchell.edu/columbia/online-application,https://paulmitchell.edu/columbia/online-application,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,16:1,94%,Not available,Not available,Not available,Suburban,5
Paul Mitchell The School Colorado Springs,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Colorado Springs, CO",Less than 2-year • Career and Technical,$20K,"$19,926",Not available,Not available,"118 W Colorado Ave, Colorado Springs, CO 80903",Phone number not available,paulmitchell.edu/coloradosprings/request-enrollment-information,https://www.paulmitchell.edu/coloradosprings/online-application,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,16:1,75%,Not available,Not available,Not available,Urban,5
Paul Mitchell the School Clear Lake,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Webster, TX",Less than 2-year • Career and Technical,$16K,"$16,192",Not available,Not available,"20807 Gulf Fwy, Webster, TX 77598",Phone number not available,paulmitchell.edu/clearlake/request-enrollment-information,https://www.paulmitchell.edu/clearlake/online-application,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,12:1,90%,Not available,Not available,Not available,Suburban,1
Paul Mitchell The School Cincinnati,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Cincinnati, OH",Less than 2-year • Career and Technical,$16K,"$16,033",Not available,Not available,"11956 Lebanon Rd, Cincinnati, OH 45241",Phone number not available,paulmitchell.edu/cincinnati/request-enrollment-information,https://paulmitchell.edu/cincinnati/request-enrollment-information,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,18:1,77%,Not available,Not available,Not available,Suburban,2
Paul Mitchell The School Chicago,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Chicago, IL",Less than 2-year • Career and Technical,$15K,"$14,818",Not available,Not available,"1225 S Halsted St, Chicago, IL 60607",Phone number not available,paulmitchell.edu/chicago/request-enrollment-information,https://paulmitchell.edu/chicago/get-started,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,18:1,64%,Not available,Not available,Not available,Urban,3
Paul Mitchell The School Bradley,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Bourbonnais, IL",Less than 2-year • Career and Technical,$25K,"$24,924",Not available,Not available,"1600 N State Rt 50, Bourbonnais, IL 60914",Phone number not available,paulmitchell.edu/bradley,https://paulmitchell.edu/bradley/online-application,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,16:1,88%,Not available,Not available,Not available,Suburban,4
Paul Mitchell The School Boise,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Boise, ID",Less than 2-year • Career and Technical,$15K,"$15,079",Not available,Not available,"1270 S Vinnell Way, Boise, ID 83709",Phone number not available,paulmitchell.edu/boise/request-enrollment-information,https://www.paulmitchell.edu/boise/online-application,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,14:1,81%,Not available,Not available,Not available,Urban,5
Paul Mitchell the School Baton Rouge,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Baton Rouge, LA",Less than 2-year • Private,$13K,"$13,242",Not available,Not available,"12158 Coursey Blvd, Baton Rouge, LA 70816",Phone number not available,paulmitchell.edu/batonrouge/request-enrollment-information,https://paulmitchell.edu/batonrouge/get-started,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,14:1,70%,Not available,Not available,Not available,Urban,3
